,name,5.6_Peak_Area,5.6_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-009-71-CL_1.D,CL_1.D,2.94952,5.612,124801.0,8.16,23.73069,8.898,288.99255,13.768,48.25082,14.147,963.63092,16.065,246.1328,19.784
F-010-71-CL_1.D,CL_1.D,3.24185,5.611,133192.0,8.189,20.9039,8.917,304.99197,13.773,51.94682,14.156,1031.40356,16.075,263.23743,19.789
F-004-71-CL_1.D,CL_1.D,2.6365,5.607,131997.0,8.187,25.96371,8.913,304.91064,13.772,50.94959,14.154,1017.51746,16.074,258.991,19.789
F-002-71-CL_1.D,CL_1.D,2.11437,5.617,136303.0,8.205,25.5901,8.93,312.34137,13.784,52.78204,14.169,1053.90527,16.088,266.10431,19.801
F-008-71-CL_1.D,CL_1.D,3.22319,5.615,131078.0,8.178,13.88798,8.911,302.78,13.77,50.88356,14.152,1013.74469,16.072,258.08194,19.787
F-005-71-CL_1.D,CL_1.D,2.8326,5.609,126074.0,8.161,15.86139,8.9,291.2645,13.769,48.47687,14.148,972.62921,16.067,247.18286,19.785
F-003-71-CL_1.D,CL_1.D,2.12678,5.622,134040.0,8.192,25.51266,8.92,308.34238,13.777,51.63989,14.16,1035.38892,16.081,262.98026,19.794
F-006-71-CL_1.D,CL_1.D,3.16382,5.616,131801.0,8.185,24.3619,8.913,303.24802,13.772,50.96272,14.155,1019.23871,16.074,258.8241,19.788
F-007-71-CL_1.D,CL_1.D,2.83059,5.658,127740.0,8.167,22.95637,8.904,295.4234,13.769,49.46294,14.15,987.04437,16.069,251.31563,19.786
F-001-71-CL_1.D,CL_1.D,2.10666,5.697,136611.0,8.22,4.49901,8.945,313.99228,13.8,53.0192,14.184,1055.0874,16.105,267.04208,19.817
