,name,5.6_Peak_Area,5.6_actual-RT,5.9_Peak_Area,5.9_actual-RT,6.4_Peak_Area,6.4_actual-RT,7.6_Peak_Area,7.6_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,11.1_Peak_Area,11.1_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,18.7_Peak_Area,18.7_actual-RT,19.5_Peak_Area,19.5_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-040-74-CL_4.D,CL_4.D,4.12391,5.597,,,9.99577,6.326,,,126392.0,8.161,357.03699,8.886,,,140.45184,13.766,5.6733,14.172,950.56146,16.061,,,,,59.69116,19.781
F-018-72-CL_2.D,CL_2.D,3.60123,5.604,,,3.32324,6.328,,,127308.0,8.171,54.31924,8.896,,,2.37067,13.809,234.88118,14.147,1055.40051,16.073,,,,,518.99139,19.794
F-062-88-CL_Lismore.D,CL_Lismore.D,,,,,1.20058,6.536,11377.0,7.684,,,,,11.15309,11.142,3.03348,13.808,20.81106,14.127,86.70238,16.032,,,38.14814,19.574,18.80468,19.783
F-021-73-CL_3.D,CL_3.D,2.83962,5.604,,,,,,,125820.0,8.162,185.76691,8.889,,,30.95312,13.779,499.83865,14.147,972.27094,16.069,,,,,5.00262,19.814
F-009-71-CL_1.D,CL_1.D,2.94952,5.612,,,,,,,124801.0,8.16,23.73069,8.898,,,288.99255,13.768,48.25082,14.147,963.63092,16.065,,,,,246.1328,19.784
F-037-74-CL_4.D,CL_4.D,3.81659,5.609,,,9.77991,6.336,,,126189.0,8.162,360.35474,8.888,,,140.06906,13.768,5.69044,14.174,949.1795,16.063,,,,,59.58105,19.782
F-044-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,13279.7,7.682,,,,,21.56954,11.122,,,12.29766,14.124,83.6246,16.023,,,,,7.98805,19.786
F-020-72-CL_2.D,CL_2.D,3.19479,5.608,,,3.24591,6.345,,,129307.0,8.177,54.61063,8.902,,,2.31261,13.81,238.53502,14.15,1073.16858,16.075,,,,,527.93176,19.794
F-037-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,13395.5,7.688,,,,,21.82578,11.135,,,12.38973,14.134,84.66213,16.033,,,,,7.99083,19.794
F-015-72-CL_2.D,CL_2.D,3.16194,5.616,,,3.08904,6.342,,,129098.0,8.175,54.02125,8.9,,,2.36681,13.808,238.33565,14.148,1070.35876,16.074,,,,,526.52588,19.793
F-010-71-CL_1.D,CL_1.D,3.24185,5.611,,,,,,,133192.0,8.189,20.9039,8.917,,,304.99197,13.773,51.94682,14.156,1031.40356,16.075,,,,,263.23743,19.789
F-004-71-CL_1.D,CL_1.D,2.6365,5.607,,,,,,,131997.0,8.187,25.96371,8.913,,,304.91064,13.772,50.94959,14.154,1017.51746,16.074,,,,,258.991,19.789
F-039-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,13206.5,7.685,,,,,21.33447,11.119,,,12.36074,14.121,82.82484,16.021,,,,,7.80884,19.783
F-027-73-CL_3.D,CL_3.D,2.81338,5.616,,,,,,,132707.0,8.189,194.93391,8.908,,,32.69389,13.782,528.67841,14.156,1026.09937,16.077,,,,,4.93626,19.818
F-057-88-CL_Lismore.D,CL_Lismore.D,,,,,2.23477,6.533,11198.2,7.683,,,,,10.9451,11.139,2.98821,13.806,20.50477,14.125,85.46149,16.03,,,37.55106,19.572,18.08245,19.782
F-071-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,,,11958.7,7.681,,,,,15.9141,11.126,2.63239,13.8,12.55892,14.122,117.4575,16.021,,,11.06111,19.578,5.58597,19.788
F-013-72-CL_2.D,CL_2.D,3.83956,5.612,,,3.26359,6.31,,,130114.0,8.179,57.99686,8.903,,,2.40466,13.809,240.35023,14.149,1079.03284,16.074,,,,,530.90369,19.793
F-065-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,1.77316,6.514,12029.5,7.686,,,,,16.04339,11.131,2.60296,13.807,12.65187,14.129,118.59728,16.027,,,11.13061,19.584,5.69714,19.794
F-058-88-CL_Lismore.D,CL_Lismore.D,,,,,2.30564,6.535,11353.3,7.682,,,,,11.07227,11.143,3.0386,13.809,20.86825,14.128,86.54988,16.033,,,38.19894,19.575,18.97882,19.784
F-002-71-CL_1.D,CL_1.D,2.11437,5.617,,,,,,,136303.0,8.205,25.5901,8.93,,,312.34137,13.784,52.78204,14.169,1053.90527,16.088,,,,,266.10431,19.801
F-031-74-CL_4.D,CL_4.D,3.46997,5.614,,,10.3011,6.341,,,133890.0,8.2,379.4556,8.914,,,148.68742,13.779,6.17222,14.189,1008.47131,16.079,,,,,62.72746,19.794
F-008-71-CL_1.D,CL_1.D,3.22319,5.615,,,,,,,131078.0,8.178,13.88798,8.911,,,302.78,13.77,50.88356,14.152,1013.74469,16.072,,,,,258.08194,19.787
F-056-88-CL_Lismore.D,CL_Lismore.D,,,,,2.24449,6.532,11258.7,7.682,,,,,11.06577,11.139,3.01665,13.805,20.56247,14.125,85.92923,16.03,,,37.85122,19.572,18.65752,19.781
F-019-72-CL_2.D,CL_2.D,3.59462,5.611,,,3.13328,6.362,,,131953.0,8.187,59.39811,8.907,,,2.45414,13.809,243.69794,14.151,1095.48401,16.077,,,,,538.95111,19.795
