Sample ID,Analyte Name,Conc (Calib),Conc (Samp),RSD (Corr Int),SD (Corr Int),Wavelength,Int (Corr),Repl No1,Date1,Time1,Int (Net)1,Conc (Calib)1,Int (Corr)1,Conc (Samp)1,Repl No2,Date2,Time2,Int (Net)2,Conc (Calib)2,Int (Corr)2,Conc (Samp)2,Repl No3,Date3,Time3,Int (Net)3,Conc (Calib)3,Int (Corr)3,Conc (Samp)3
Calib Blank 1,Cu 327.393, , ,3.694907158,81.11326341,327.393,2195.272031,1,9/4/2025,2:40:32 PM,2287.399954, ,2287.399954, ,2,9/4/2025,2:40:42 PM,2163.826413, ,2163.826413, ,3,9/4/2025,2:40:50 PM,2134.589727, ,2134.589727, 
Calib Blank 1,Cu 324.752, , ,0.1478013149,89.39397693,324.752,60482.53154,1,9/4/2025,2:41:00 PM,60419.37263, ,60419.37263, ,2,9/4/2025,2:41:09 PM,60584.81812, ,60584.81812, ,3,9/4/2025,2:41:16 PM,60443.40388, ,60443.40388, 
Calib Blank 1,Cu 224.700, , ,0.4999480955,42.99106545,224.7,-8599.105755,1,9/4/2025,2:41:27 PM,-8556.264504, ,-8556.264504, ,2,9/4/2025,2:41:38 PM,-8598.807676, ,-8598.807676, ,3,9/4/2025,2:41:48 PM,-8642.245085, ,-8642.245085, 
Calib Blank 1,Zn 213.857, , ,0.902145163,62.02079418,213.857,6874.813137,1,9/4/2025,2:41:59 PM,6918.289961, ,6918.289961, ,2,9/4/2025,2:42:12 PM,6902.358629, ,6902.358629, ,3,9/4/2025,2:42:23 PM,6803.79082, ,6803.79082, 
Calib Blank 1,Zn 206.200, , ,24.64065644,42.78326607,206.2,-173.6287594,1,9/4/2025,2:42:36 PM,-193.9763953, ,-193.9763953, ,2,9/4/2025,2:42:49 PM,-202.4406842, ,-202.4406842, ,3,9/4/2025,2:43:01 PM,-124.4691986, ,-124.4691986, 
Calib Blank 1,Zn 202.548, , ,1.949046967,27.81132188,202.548,-1426.91902,1,9/4/2025,2:43:15 PM,-1445.740177, ,-1445.740177, ,2,9/4/2025,2:43:28 PM,-1440.042697, ,-1440.042697, ,3,9/4/2025,2:43:40 PM,-1394.974186, ,-1394.974186, 
Calib Blank 1,Ni 231.604, , ,1.899313259,61.90589199,231.604,3259.382921,1,9/4/2025,2:43:55 PM,3326.290452, ,3326.290452, ,2,9/4/2025,2:44:05 PM,3247.720808, ,3247.720808, ,3,9/4/2025,2:44:14 PM,3204.137502, ,3204.137502, 
Calib Blank 1,Ni 221.648, , ,0.8069961823,15.13778049,221.648,1875.818104,1,9/4/2025,2:44:24 PM,1885.765165, ,1885.765165, ,2,9/4/2025,2:44:37 PM,1883.29224, ,1883.29224, ,3,9/4/2025,2:44:49 PM,1858.396908, ,1858.396908, 
Calib Blank 1,Ni 232.003, , ,14.20830994,64.36566985,232.003,453.014258,1,9/4/2025,2:45:03 PM,521.7927006, ,521.7927006, ,2,9/4/2025,2:45:14 PM,394.2306966, ,394.2306966, ,3,9/4/2025,2:45:23 PM,443.0193769, ,443.0193769, 
Std1,Cu 327.393, , ,0.6890074002,383.6759738,327.393,55685.31974,1,9/4/2025,2:48:00 PM,57795.96778, ,55600.69575, ,2,9/4/2025,2:48:09 PM,58299.51542, ,56104.24339, ,3,9/4/2025,2:48:17 PM,57546.29212, ,55351.02009, 
